datetime,AAVEEUR,ADAEUR,ALGOEUR,ANKREUR,ANTEUR,ATOMEUR,AXSEUR,BADGEREUR,BALEUR,BANDEUR,BATEUR,BCHEUR,BNTEUR,DYDXEUR,CHZEUR,COMPEUR,CQTEUR,CRVEUR,CTSIEUR,DAIEUR,DASHEUR,DOTEUR,ENJEUR,EOSEUR,EWTEUR,FILEUR,FLOWEUR,GHSTEUR,GNOEUR,GRTEUR,ICXEUR,INJEUR,KAREUR,KAVAEUR,KEEPEUR,KNCEUR,KSMEUR,LINKEUR,LPTEUR,LRCEUR,LSKEUR,MANAEUR,MATICEUR,MINAEUR,MIREUR,MKREUR,MOVREUR,NANOEUR,OCEANEUR,OGNEUR,OMGEUR,OXTEUR,PAXGEUR,PERPEUR,QTUMEUR,RARIEUR,RENEUR,REPV2EUR,SANDEUR,SCEUR,SDNEUR,SNXEUR,SOLEUR,SRMEUR,STORJEUR,SUSHIEUR,TRXEUR,UNIEUR,WAVESEUR,DOGEEUR,ETCEUR,ETHEUR,LTCEUR,MLNEUR,REPEUR,XTZEUR,XBTEUR,XLMEUR,XMREUR,XRPEUR,ZECEUR,YFIEUR,ZRXEUR
2020-12-15,88.9,0.130499,0.2576,,2.4995,4.3008,,,10.1,,0.17957,227.92,,,,126.09,,0.526,,0.8245,79.618,4.0291,,2.3427,,24.357,,,51.5,,0.3333,,,1.3232,0.20255,0.7482,41.61,10.5711,,,1.045581,0.8,,,,,,0.877955,,,2.674453,0.21103,1511.93,,2.0805,,,13.036,,0.00267,,4.328,,,0.28814,,0.023975,2.863,7.1059,0.002659,4.971,482.62,67.81,25.532,13.857,1.8317,15855.5,0.139931,125.8,0.40981,56.162,21258.0,
2020-12-16,73.29,0.126722,0.26758,,2.5205,4.33,,,10.03,,0.17962,237.59,,,,123.58,,0.516,,0.82322,79.3,4.3138,,2.356,,23.89,,,51.16,,0.329,,,1.2984,0.20211,0.7804,46.67,10.42531,,,1.044238,0.07579,,,,,,0.877447,,,2.586,0.20946,1535.88,,2.13267,,,13.25,,0.00268,,4.4,,,0.29305,,0.024044,2.74,6.6869,0.0026307,4.98,484.69,66.94,26.409,13.58,1.8365,15989.2,0.136747,124.01,0.38529,55.747,20377.0,
2020-12-17,71.96,0.137813,0.27872,,2.5667,4.4999,,,11.6,,0.19061,255.31,,,,127.28,,0.533,,0.82087,86.259,4.3952,,2.5422,,23.31,,,55.27,,0.3489,,,1.3399,0.2016,0.7694,46.84,11.05897,,,1.0855,0.0719,,,,,,0.958674,,,2.747081,0.2196,1533.02,,2.27,,,13.34,,0.0028,,4.327,,,0.29927,,0.025773,2.9,6.8541,0.0028158,5.284,522.1,76.23,27.157,14.0,1.9399,17490.1,0.158482,129.88,0.46629,60.0,22252.0,
2020-12-18,68.32,0.133171,0.27094,,2.6642,4.3584,,,11.34,,0.18437,253.01,,,,144.32,,0.534,,0.81503,88.197,4.355,,2.4834,,23.1,,,54.78,0.213,0.33,,,1.3008,0.19013,0.7462,46.58,10.96399,,,1.065615,0.07101,,,,,,0.937199,,,2.61326,0.20769,1565.08,,2.18,,,13.073,,0.00285,,4.296,,,0.285,,0.025042,3.005,6.4445,0.0030553,5.235,523.99,82.36,27.21,13.559,1.8705,18579.8,0.15185,129.98,0.47015,60.22,21667.0,
2020-12-19,73.8,0.134758,0.28767,,2.6446,4.3479,,,11.87,,0.20386,255.67,,,,130.5,,0.527,,0.81744,88.157,4.3724,,2.4955,,23.21,,,57.0,0.21301,0.354,,,1.3196,0.18773,0.7711,46.97,11.02572,,,1.124999,0.0729,,,,,,0.936386,,,2.644156,0.21003,1550.0,,2.24092,,,16.298,,0.00295,,4.994,,,0.29685,,0.02543,3.084,6.381,0.0031677,5.191,533.51,89.25,30.187,15.934,1.898,18852.5,0.151001,126.04,0.47595,60.087,22783.0,
2020-12-20,72.15,0.13353,0.28952,,2.6445,4.2801,,,11.42,,0.19868,258.33,,,,126.38,,0.541,,0.81414,88.141,4.3369,,2.4827,,22.919,,,56.69,0.395,0.3485,,,1.3278,0.19888,0.7662,45.25,10.96099,,,1.13803,0.07549,,,,,,0.91622,,,2.63407,0.20585,1540.71,,2.27901,,,15.77,,0.00295,,4.986,,,0.30092,,0.025392,3.227,6.2276,0.0031815,5.226,534.94,97.54,30.363,15.955,1.8896,19361.1,0.147597,125.68,0.46891,59.648,22353.0,
2020-12-21,69.37,0.132,0.27505,,2.5667,4.1107,,,10.85,,0.18951,284.3,,,,125.58,,0.504,,0.81619,89.256,4.2367,,2.5471,,23.15,,,56.55,0.60315,0.3502,,,1.2986,0.185,0.7539,43.69,10.66813,,,1.106775,0.072,,,,,,0.881177,,,2.588499,0.21765,1551.58,,2.29039,,,14.051,,0.00296,,4.837,,,0.2913,,0.025367,3.069,5.8431,0.0038179,5.261,520.66,93.56,28.714,15.209,1.8494,19156.0,0.144059,124.0,0.45325,59.746,21297.0,
2020-12-22,66.0,0.125152,0.26583,,2.4357,4.1155,,,10.33,,0.18303,256.5,,,,115.86,,0.455,,0.81855,85.0,3.9866,,2.3971,,20.4,,,54.68,0.38791,0.327,,,1.2259,0.17986,0.7147,40.65,10.0883,,,1.029085,0.06879,,,,,,0.850174,,,2.41999,0.2172,1555.95,,2.12,,,14.145,,0.00288,,5.022,,,0.28154,,0.024006,2.872,5.4957,0.0039,5.005,497.34,85.47,26.12,14.518,1.7823,18590.2,0.135232,119.2,0.42117,55.533,20000.0,
2020-12-23,69.27,0.128746,0.27639,,2.44,4.0462,,,10.8,,0.17898,264.6,,,,119.18,,0.462,,0.8208,86.643,4.2203,,2.3748,,20.265,,,56.46,0.44845,0.3271,,,1.2331,0.18695,0.73,44.58,10.48,,,1.049084,0.06904,,,,,,0.885368,,,2.465715,0.21249,1540.0,,2.12125,,,13.864,,0.00279,,5.939,,,0.28046,,0.023637,3.059,5.8451,0.0037106,5.03,521.53,93.6,26.8,14.505,1.7868,19508.5,0.132735,128.24,0.36578,55.8,20428.0,
2020-12-24,61.21,0.112472,0.23774,,2.4099,3.615,,,9.44,,0.15856,226.36,,,,106.67,,0.348,,0.82243,75.126,3.8738,,1.9015,,18.267,,,51.57,0.33456,0.289,,,1.1145,0.17017,0.619,38.7,9.02688,,,0.91,0.06113,,,,,,0.791027,,,1.900076,0.18319,1545.0,,1.6951,,,11.8,,0.00236,,5.87,,,0.2266,,0.020332,2.726,4.8364,0.0030765,4.188,480.72,84.18,23.19,13.699,1.4981,19090.1,0.104225,123.57,0.21371,45.49,16493.0,
