date,SOLUSD,USDCUSD,ADAUSD,AVAXUSD,SHIBUSD,DOTUSD,TRXUSD,LINKUSD,WBTCUSD,UNIUSD,MATICUSD,BCHUSD,RNDRUSD,IMXUSD,ICPUSD,FILUSD,NEARUSD,ATOMUSD,DAIUSD,GRTUSD,INJUSD,MKRUSD,PEPEUSD,FETUSD,STXUSD,WIFUSD,XXBTZUSD,XETHZUSD,XXRPZUSD,DOGEUSD,XLTCZUSD,XETCZUSD,XXLMZUSD
2022-03-31 01:00:00,122.85,0.9999,1.140983,97.39,0.00002586,21.3319,0.073796,16.91977,45846.4,11.287,1.6150,384.68,2.9561,2.353,20.761,24.466,3.485,28.9054,0.99987,0.47015,5.913,2090.7,0.000001697,0.2641,0.2000,0.2285,45524.3,3282.60,0.81524,0.1381119,123.85,47.456,0.228496
2022-04-01 01:00:00,134.60,1.0000,1.164338,96.80,0.00002614,22.0315,0.074976,17.35154,46217.3,11.589,1.6941,376.99,3.0526,2.495,21.606,25.539,3.476,29.4102,0.99995,0.48489,6.200,2277.6,0.000001568,0.2640,0.2000,0.2677,46312.0,3454.64,0.82816,0.1412313,124.82,47.000,0.232719
2022-04-02 01:00:00,132.44,1.0000,1.155153,95.84,0.00002581,22.6103,0.073204,17.41534,46047.2,11.649,1.6534,373.02,3.0570,2.418,20.959,23.963,3.126,31.3210,1.00001,0.51872,6.143,2221.2,0.000001601,0.2523,0.2000,0.2466,45828.6,3445.13,0.82404,0.1387910,124.80,45.430,0.233194
2022-04-03 01:00:00,136.79,1.0000,1.186058,98.19,0.00002678,23.2045,0.073061,18.09101,46759.4,11.871,1.6901,378.70,2.9105,2.619,22.561,25.482,3.280,31.9661,1.00000,0.51718,6.313,2269.3,0.000001530,0.2000,0.2000,0.2120,46423.4,3523.19,0.84347,0.1463316,128.99,46.763,0.236937
2022-04-04 01:00:00,132.33,1.0001,1.213494,96.10,0.00002648,22.8900,0.070771,17.49915,45644.7,11.543,1.6481,375.97,2.8011,2.492,21.855,25.328,3.365,30.8572,0.99992,0.49327,6.230,2437.2,0.000001727,0.1944,0.2000,0.2174,46617.1,3519.53,0.82654,0.1485383,124.85,46.864,0.232148
2022-04-05 01:00:00,126.82,1.0000,1.170137,91.02,0.00002676,21.7782,0.069272,16.74518,45530.8,11.122,1.5938,365.47,2.5225,2.333,21.048,24.891,3.479,29.2892,0.99985,0.45941,6.345,2302.4,0.000001593,0.1350,0.2000,0.1899,45479.2,3407.70,0.81726,0.1726890,122.79,44.423,0.224936
2022-04-06 01:00:00,113.02,1.0000,1.053412,82.81,0.00002436,19.8483,0.063056,15.40933,43278.6,9.959,1.4550,331.19,2.5800,2.035,18.730,21.730,3.316,26.9086,0.99987,0.41145,5.947,2047.2,0.000001530,0.2200,0.2000,0.2200,43179.4,3168.44,0.75979,0.1433259,111.79,38.289,0.203072
2022-04-07 01:00:00,118.54,0.9999,1.089906,87.67,0.00002481,20.4139,0.064429,15.76737,43248.7,10.452,1.5123,336.58,2.4369,2.149,19.305,22.457,3.579,27.7077,0.99991,0.43117,6.099,2065.0,0.000001599,0.1746,0.2000,0.2204,43469.8,3229.00,0.78705,0.1460518,114.11,43.297,0.212681
2022-04-08 01:00:00,109.84,1.0000,1.025486,83.83,0.00002381,19.4176,0.062571,15.13765,42170.0,9.738,1.4335,323.16,2.5030,2.100,18.024,21.289,4.058,26.8784,0.99993,0.39417,6.160,2036.1,0.000001439,0.1900,0.2000,0.2517,42282.6,3193.91,0.75525,0.1425462,110.76,40.612,0.202146
2022-04-09 01:00:00,112.90,1.0000,1.045376,84.59,0.00002462,19.7761,0.063989,15.43313,42690.0,10.063,1.4645,325.78,2.4690,2.160,18.365,21.736,4.229,27.2943,0.99994,0.40607,6.332,2092.4,0.000001429,0.1943,0.2974,0.3287,42764.0,3261.06,0.76271,0.1443574,112.68,41.878,0.205000
2022-04-10 01:00:00,111.04,0.9999,1.026941,81.00,0.00002442,19.2128,0.062515,15.21799,42359.4,9.849,1.4211,318.60,2.0784,2.039,17.335,20.973,3.821,26.5171,0.99993,0.38396,6.091,2013.1,0.000001455,0.1919,0.3028,0.2968,42160.0,3201.59,0.75418,0.1480568,110.18,40.248,0.200573
2022-04-11 01:00:00,99.52,0.9999,0.919516,74.09,0.00002217,17.1946,0.058052,13.74681,39541.4,8.953,1.3346,294.79,2.0555,1.731,16.028,18.330,3.701,23.8459,0.99985,0.34847,5.276,1810.5,0.000001518,0.1892,0.3037,0.3706,39534.6,2978.32,0.69447,0.1340518,102.41,36.930,0.186073
2022-04-12 01:00:00,103.16,0.9999,0.953000,76.26,0.00002691,17.7620,0.059892,13.97175,40155.1,9.340,1.3926,304.68,2.0874,1.838,16.608,19.512,3.430,24.6157,0.99993,0.37282,5.502,1860.0,0.000001501,0.1699,0.3062,0.3683,40078.7,3029.95,0.71511,0.1380995,104.74,38.163,0.192553
2022-04-13 01:00:00,104.97,1.0000,0.974670,80.08,0.00002695,18.1780,0.061489,14.18951,41343.1,9.661,1.4196,341.28,2.0258,1.847,16.954,19.416,3.427,24.6745,0.99990,0.38358,5.563,1942.1,0.000001439,0.1880,0.3114,0.4428,41150.0,3117.99,0.72359,0.1398663,110.54,38.416,0.196511
2022-04-14 01:00:00,100.79,0.9999,0.931548,76.77,0.00002578,17.9261,0.060142,13.62814,40027.2,9.476,1.3718,337.59,2.0243,1.804,16.530,18.662,3.360,23.9400,0.99989,0.36288,5.301,1899.3,0.000001297,0.1668,0.3188,0.4185,39954.9,3020.85,0.72520,0.1439335,107.40,37.005,0.193776
2022-04-15 01:00:00,101.36,1.0000,0.954724,77.44,0.00002592,18.3520,0.061900,14.12238,40577.8,9.792,1.3966,340.75,2.0141,1.789,16.736,19.056,3.399,24.1108,0.99995,0.36990,5.300,1945.0,0.000001262,0.1710,0.3224,0.3730,40569.9,3041.45,0.78526,0.1459210,110.96,37.443,0.204240
